T_K,species,composition_ref,source,anchor_class,log10P_anchor,log10P_model,residual,status,model_side,note
2250.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-2.82109,-2.84268,-0.0215897,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.04517,-3.67091,0.374259,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.83562,-4.09396,0.741658,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.84406,-4.37068,0.47338,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.18026,-4.73913,0.441131,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.33523,-5.74292,0.592312,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.42174,-3.42166,7.31568e-05,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2250.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.57976,-5.28514,0.294618,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2500.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-2.04456,-2.0817,-0.0371449,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2500.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.28794,-2.87209,0.415855,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2500.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.39074,-2.72147,0.669269,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2500.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-3.79776,-3.3576,0.440164,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
2500.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.17359,-3.73397,0.439628,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
