sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
aba,2125,Na,K-NA-INFORMATIONAL,-2.9824787711518952,-4.1068688079013542,inside,True,
aba,2125,K,K-NA-INFORMATIONAL,-3.9976693264613612,-6.4112780887019243,inside,True,
aba,2250,O2,UNGATEABLE,-3.1249990208662126,-3.1249128746595929,inside,,
aba,2250,Mg,FAIL,-5.9746875793962975,-5.8116293047460097,inside,False,
aba,2250,SiO,FAIL,-5.2372397605869372,-4.7308215540074041,inside,True,
aba,2250,SiO2,FAIL,-5.833005699557166,-5.7736500827807822,inside,False,
aba,2250,Fe,FAIL,-5.0133935977388511,-4.7519102663086663,inside,False,
aba,2250,FeO,FAIL,-5.2012262643589429,-4.9720601635737811,inside,False,
aba,2250,Na,K-NA-INFORMATIONAL,-2.5371031495735958,-3.6729406454750286,inside,True,
aba,2250,K,K-NA-INFORMATIONAL,-3.5712085891171395,-5.95185717466138,inside,True,
aba,2375,O2,UNGATEABLE,-2.7355063666141151,-2.7355785466123663,inside,,
aba,2375,Mg,FAIL,-5.3346882048934958,-5.1333241932607976,inside,False,
aba,2375,SiO,FAIL,-4.4589789584050337,-3.9838764242138316,inside,True,
aba,2375,SiO2,FAIL,-5.1333529659124455,-5.0710678409965695,inside,False,
aba,2375,Fe,FAIL,-4.452926760427097,-4.1722892706725867,inside,False,
aba,2375,FeO,FAIL,-4.6741534055700749,-4.4088431048988665,inside,False,
aba,2375,Na,K-NA-INFORMATIONAL,-2.1411705039366304,-3.2859216715318245,inside,True,
aba,2375,K,K-NA-INFORMATIONAL,-3.1931645326994533,-5.540227791480886,inside,True,
aba,2500,O2,UNGATEABLE,-2.386544142560882,-2.3865266437612078,inside,,
aba,2500,Mg,FAIL,-4.7606021586806309,-4.5330511434949461,inside,False,
aba,2500,SiO,FAIL,-3.7540310692187053,-3.3134690473825121,inside,True,
aba,2500,SiO2,FAIL,-4.499942962645382,-4.4406093472782171,inside,False,
aba,2500,Fe,FAIL,-3.9491626001150961,-3.6552344087005491,inside,False,
aba,2500,FeO,FAIL,-4.201234409463348,-3.9078937423897973,inside,False,
aba,2500,Na,K-NA-INFORMATIONAL,-1.7875998298354661,-2.9402814231314065,inside,True,
aba,2500,K,K-NA-INFORMATIONAL,-2.8556998423823212,-5.1701168024540642,inside,True,
kom,1500,O2,UNGATEABLE,-7.4068446841621229,-7.4068174516851286,inside,,
kom,1500,Mg,EXTRAPOLATED-INFORMATIONAL,-11.614370135737227,-12.202186052825907,inside,False,
kom,1500,SiO,EXTRAPOLATED-INFORMATIONAL,-12.184067059078728,-11.599996680687484,inside,False,
kom,1500,SiO2,EXTRAPOLATED-INFORMATIONAL,-12.323889101451687,-12.484537772456912,inside,False,
kom,1500,Fe,EXTRAPOLATED-INFORMATIONAL,-10.092426024240126,-10.200844677554985,inside,False,
kom,1500,FeO,EXTRAPOLATED-INFORMATIONAL,-10.253848151266007,-10.579846216150358,inside,False,
kom,1500,Na,K-NA-INFORMATIONAL,-6.8263613100534517,-8.0327920902116752,inside,True,
kom,1500,K,K-NA-INFORMATIONAL,-8.0439737473714903,-10.368449775234138,inside,True,
kom,1625,O2,UNGATEABLE,-6.5236056383922474,-6.5237238120607586,inside,,
kom,1625,Mg,EXTRAPOLATED-INFORMATIONAL,-10.150575119164118,-10.545155232313151,inside,False,
kom,1625,SiO,EXTRAPOLATED-INFORMATIONAL,-10.585045527545693,-9.956217360696682,inside,False,
kom,1625,SiO2,EXTRAPOLATED-INFORMATIONAL,-10.882524865847339,-10.933488237705314,inside,False,
kom,1625,Fe,EXTRAPOLATED-INFORMATIONAL,-8.8686100900997058,-8.8705433616635414,inside,False,
kom,1625,FeO,EXTRAPOLATED-INFORMATIONAL,-9.0885667150996241,-9.262874227038397,inside,False,
kom,1625,Na,K-NA-INFORMATIONAL,-5.9417087644130451,-7.1383321303380649,inside,True,
kom,1625,K,K-NA-INFORMATIONAL,-7.1376771676612236,-9.460326546794251,inside,True,
kom,1750,O2,UNGATEABLE,-5.761652254847287,-5.7614913652847619,inside,,
kom,1750,Mg,FAIL,-8.9040997655059115,-9.1462439018932233,inside,False,
kom,1750,SiO,FAIL,-9.202201586893894,-8.5572140413582858,inside,False,
kom,1750,SiO2,FAIL,-9.6323703546973487,-9.6097964923162582,inside,False,
kom,1750,Fe,FAIL,-7.8246839241810573,-7.7450386599898859,inside,False,
kom,1750,FeO,FAIL,-8.0923669798684443,-8.1470947855111149,inside,False,
kom,1750,Na,K-NA-INFORMATIONAL,-5.1761415315515382,-6.375493411232017,inside,True,
kom,1750,K,K-NA-INFORMATIONAL,-6.3737076848854697,-8.6793764343999449,inside,True,
kom,1875,O2,UNGATEABLE,-5.0979720204320556,-5.0979611441608839,inside,,
kom,1875,Mg,FAIL,-7.8313537504307806,-7.9530981015280213,inside,False,
kom,1875,SiO,FAIL,-7.9931926465869827,-7.3516242351516521,inside,False,
kom,1875,SiO2,FAIL,-8.536698561623977,-8.4667074333323011,inside,False,
kom,1875,Fe,FAIL,-6.9241805039881852,-6.7819541642782584,inside,False,
kom,1875,FeO,FAIL,-7.2315662205842326,-7.1918485072164868,inside,False,
kom,1875,Na,K-NA-INFORMATIONAL,-4.5072357009439816,-5.7155876837437036,inside,True,
kom,1875,K,K-NA-INFORMATIONAL,-5.7216436172322496,-8.0013171164225732,inside,True,
kom,1900,O2,UNGATEABLE,-4.9755237735878453,-4.9755557306433289,inside,,
kom,1900,Mg,FAIL,-7.6345440267873066,-7.7354973550291595,inside,False,
kom,1900,SiO,FAIL,-7.7692584116823493,-7.130168819950037,inside,False,
kom,1900,SiO2,FAIL,-8.3335462323848102,-8.2565320664662565,inside,False,
kom,1900,Fe,FAIL,-6.7587272809191452,-6.6059024651765608,inside,False,
kom,1900,FeO,FAIL,-7.0733310804898961,-7.017255840508331,inside,False,
kom,1900,Na,K-NA-INFORMATIONAL,-4.3836147153048408,-5.5940789719780275,inside,True,
kom,1900,K,K-NA-INFORMATIONAL,-5.6025541520458519,-7.8753269739662084,inside,True,
kom,2000,O2,UNGATEABLE,-4.5163700601164658,-4.5164855716086478,inside,,
kom,2000,Mg,FAIL,-6.8986812471076924,-6.9260915734053619,inside,False,
kom,2000,SiO,FAIL,-6.9256744285720018,-6.3012116851206112,inside,True,
kom,2000,SiO2,FAIL,-7.5679089996861926,-7.4694133240406488,inside,False,
kom,2000,Fe,FAIL,-6.1393599493324817,-5.9496863367203323,inside,False,
kom,2000,FeO,FAIL,-6.4810447516926368,-6.3668111964902749,inside,False,
kom,2000,Na,K-NA-INFORMATIONAL,-3.9195834968810832,-5.1386083666042177,inside,True,
kom,2000,K,K-NA-INFORMATIONAL,-5.1588396998543091,-7.4011735976370669,inside,True,
kom,2125,O2,UNGATEABLE,-4.0043178690403156,-4.0042992989013442,inside,,
kom,2125,Mg,FAIL,-6.0801259947984763,-6.0346365696721325,inside,False,
kom,2125,SiO,FAIL,-5.9749843075897742,-5.377027659539082,inside,True,
kom,2125,SiO2,FAIL,-6.704896247972215,-6.5915685476834227,inside,False,
kom,2125,Fe,FAIL,-5.4487762356524696,-5.2239056769589771,inside,False,
kom,2125,FeO,FAIL,-5.8212880243953755,-5.6486260527091385,inside,False,
kom,2125,Na,K-NA-INFORMATIONAL,-3.4016443335217659,-4.6304301500868004,inside,True,
kom,2125,K,K-NA-INFORMATIONAL,-4.6683674491441058,-6.8682535938514677,inside,True,
kom,2250,O2,UNGATEABLE,-3.5510158823138234,-3.5508900439039408,inside,,
kom,2250,Mg,FAIL,-5.3558971583285988,-5.2550637257948347,inside,False,
kom,2250,SiO,FAIL,-5.1223964205243657,-4.55707356184144,inside,True,
kom,2250,SiO2,FAIL,-5.9311709680481215,-5.8128906752369929,inside,False,
kom,2250,Fe,FAIL,-4.8360140697893002,-4.585724516237268,inside,False,
kom,2250,FeO,FAIL,-5.2368550639788616,-5.0188629981245576,inside,False,
